tweet-id,timestamp,text,app_name,comment,bug_report,topic_distribution
1094383242805952531,2019-02-09 23:51:12,then kiss me and his lip felt so good so he was like yo my bad i swear i didnt mean to do that so i amlike you coo so he doe it again and then we start kissing and shit and we stop and we continue eating den i was on snapchat and my location was on,snapchat,"['kiss', 'lip', 'feel', 'sooo', 'good', 'yo', 'bad', 'swear', 'mean', 'do', 'coo', 'do', 'start', 'kiss', 'shit', 'stop', 'continue', 'eat', 'den', 'location']",1,"[0.03571428571428572, 0.02100840336134454, 0.025910364145658265, 0.02100840336134454, 0.02591036414565827, 0.03571428571428572, 0.024276377217553692, 0.03244631185807657, 0.02591036414565827, 0.029178338001867414, 0.03408029878618114, 0.03571428571428572, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.022642390289449116, 0.02427637721755369, 0.02100840336134454, 0.022642390289449112, 0.02100840336134454, 0.02427637721755369, 0.02100840336134454, 0.07983193277310925, 0.022642390289449116, 0.030812324929971997, 0.02100840336134454, 0.02591036414565827, 0.02100840336134454, 0.03244631185807657, 0.02100840336134454, 0.07819794584500468, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.037348272642390296]"
1094382330800570370,2019-02-09 23:47:34,the issue is not that snapchat or self where this story came from doe not have the right to put out their version of event about abortion the issue is that your middle school and high school son and daughter are reading it and believing it without challenge unles,snapchat,"['issue', 'be', 'not', 'snapchat', 'self', 'story', 'come', 'do', 'not', 'have', 'right', 'put', 'version', 'event', 'abortion', 'issue', 'be', 'middle', 'school', 'high_school', 'son', 'daughter', 'read', 'believe', 'challenge']",1,"[0.03571428571428572, 0.02100840336134454, 0.04061624649859945, 0.03571428571428572, 0.022642390289449112, 0.03408029878618114, 0.032446311858076574, 0.02591036414565827, 0.02100840336134454, 0.022642390289449116, 0.037348272642390296, 0.02100840336134454, 0.024276377217553692, 0.02100840336134454, 0.02100840336134454, 0.022642390289449116, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02100840336134454, 0.02591036414565827, 0.02100840336134454, 0.030812324929971997, 0.02100840336134454, 0.03571428571428572, 0.022642390289449112, 0.02100840336134454, 0.022642390289449112, 0.04225023342670401, 0.022642390289449116, 0.02100840336134454, 0.06839402427637724, 0.07983193277310925]"
1094381415968505858,2019-02-09 23:43:56,am i the only one who subscribed to a bunch of random as people on snapchat and do not know how they did it or how to fix it orr,snapchat,"['subscribe', 'bunch', 'random', 'ass', 'people', 'know', 'do', 'fix', 'orrrrr']",1,"[0.025062656641604012, 0.040657198551935406, 0.025062656641604012, 0.03480924533556113, 0.025062656641604012, 0.025062656641604012, 0.032859927596769714, 0.025062656641604012, 0.025062656641604012, 0.030910609857978284, 0.025062656641604012, 0.025062656641604012, 0.03480924533556114, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.05430242272347538, 0.02701197438039544, 0.03870788081314397, 0.03480924533556114, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.028961292119186865, 0.02896129211918686, 0.025062656641604012, 0.02701197438039544, 0.025062656641604012, 0.025062656641604012, 0.025062656641604012, 0.03285992759676971, 0.02701197438039544]"
1094375939620757504,2019-02-09 23:22:11,are you going to fix the worst application ever created and when i have tried to fuck woth the slow shitty application but nothing well thats why instagram is winning,snapchat,"['go', 'fix', 'bad', 'app', 'ever', 'create', 'have', 'try', 'fuck', 'slow', 'shitty', 'app', 'nothing', 'well', 's', 'instagram', 'be', 'win']",1,"[0.023809523809523815, 0.025661375661375663, 0.023809523809523815, 0.029365079365079372, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.047883597883597896, 0.029365079365079372, 0.023809523809523815, 0.023809523809523815, 0.031216931216931226, 0.023809523809523815, 0.023809523809523815, 0.04047619047619047, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.027513227513227517, 0.03677248677248678, 0.0867724867724868, 0.023809523809523815, 0.040476190476190485, 0.023809523809523815, 0.027513227513227514, 0.023809523809523815, 0.027513227513227517, 0.023809523809523815, 0.025661375661375663, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815, 0.023809523809523815]"
1094373423583715328,2019-02-09 23:12:11,its annoying having to use snapchat cause my phone broke,snapchat,"['annoy', 'have', 'use', 'cause', 'phone', 'break']",1,"[0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.04582210242587602, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125, 0.026954177897574125]"
1094370808045158405,2019-02-09 23:01:47,i texted you guy on here and emailed you guy i havent gotten any help there need to be a number i amfrustrated its been a whole week and i havent received shit there thing i can not get back my account was hacked,snapchat,"['texte', 'guy', 'email', 'guy', 'get', 'help', 'need', 'number', 'frustrated', 'beeen', 'whole', 'week', 'receive', 'shit', 'thing', 'get', 'back', 'account', 'hack']",1,"[0.022675736961451243, 0.029730410682791635, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.02973041068279163, 0.022675736961451243, 0.022675736961451243, 0.03149407911312673, 0.022675736961451243, 0.022675736961451243, 0.05794910556815319, 0.03149407911312673, 0.02443940539178634, 0.024439405391786337, 0.022675736961451243, 0.03854875283446712, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.09145880574452002, 0.054421768707483, 0.02973041068279163, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.026203073822121434, 0.02443940539178634, 0.022675736961451243, 0.027966742252456534, 0.022675736961451243, 0.022675736961451243, 0.022675736961451243, 0.02443940539178634]"
1094366432601694208,2019-02-09 22:44:24,id like to thank the daily fix snapchat team for giving me the opportunity to fake my death on our snapchat show,snapchat,"['thank', 'daily', 'fix', 'snapchat', 'team', 'give', 'opportunity', 'fake', 'death', 'show']",1,"[0.026096314231907454, 0.024213075060532687, 0.024213075060532687, 0.029862792574656988, 0.03739574926015604, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.029862792574656988, 0.03174603174603176, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.041162227602905575, 0.024213075060532687, 0.04304546677428034, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.04681194511702987, 0.03174603174603175, 0.024213075060532687, 0.024213075060532687, 0.04492870594565511, 0.024213075060532687, 0.026096314231907457, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.024213075060532687, 0.03174603174603175, 0.04681194511702987]"
1094358952488456192,2019-02-09 22:14:41,i share my location on snapchat with all of the celebrity incase they ever want to hang out,snapchat,"['share', 'location', 'celebrity', 'incase', 'ever', 'want', 'hang']",1,"[0.025974025974025986, 0.04213564213564216, 0.025974025974025986, 0.03203463203463204, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.02799422799422801, 0.025974025974025986, 0.025974025974025986, 0.03809523809523812, 0.044155844155844184, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.027994227994228005, 0.025974025974025986, 0.030014430014430025, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.025974025974025986, 0.04011544011544014, 0.04011544011544013, 0.027994227994228005]"
1094355916386910208,2019-02-09 22:02:37,i hate having a phone people get mad when you do not respond right away or when they want you to but fail to realize other people have also messaged you a well a people over facebok snapchat etc sorry i do not want to start hour long convos with everyone i have shit to do,snapchat,"['hate', 'have', 'phone', 'people', 'get', 'mad', 'do', 'not', 'respond', 'right', 'away', 'want', 'fail', 'realize', 'people', 'have', 'also', 'message', 'people', 'fb', 'do', 'not', 'want', 'start', 'hour', 'long', 'convos', 'everyone', 'have', 'shit', 'do']",1,"[0.021645021645021634, 0.021645021645021634, 0.026695526695526686, 0.030062530062530048, 0.030062530062530048, 0.021645021645021634, 0.026695526695526686, 0.021645021645021634, 0.021645021645021634, 0.021645021645021634, 0.03848003848003846, 0.025012025012025003, 0.021645021645021634, 0.021645021645021634, 0.021645021645021634, 0.021645021645021634, 0.04521404521404519, 0.021645021645021634, 0.021645021645021634, 0.06709956709956708, 0.021645021645021634, 0.0351130351130351, 0.05363155363155362, 0.03679653679653678, 0.021645021645021634, 0.021645021645021634, 0.021645021645021634, 0.03679653679653678, 0.04353054353054352, 0.025012025012025003, 0.021645021645021634, 0.021645021645021634, 0.021645021645021634, 0.028379028379028365, 0.04016354016354015]"
1094343708839997443,2019-02-09 21:14:06,philip schofields snapchat story will never fail to make me howl,snapchat,"['phillip', 'schofield', 'story', 'never_fail', 'make', 'howl']",1,"[0.025510204081632674, 0.03939909297052158, 0.025510204081632674, 0.025510204081632674, 0.02749433106575966, 0.025510204081632674, 0.041383219954648554, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.04336734693877555, 0.025510204081632674, 0.025510204081632674, 0.029478458049886646, 0.025510204081632674, 0.03939909297052158, 0.025510204081632674, 0.05725623582766447, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.025510204081632674, 0.02749433106575966, 0.027494331065759662, 0.025510204081632674, 0.029478458049886646, 0.025510204081632674, 0.025510204081632674]"
